localCode,localShortName,snomedCode,snomedDisplayName
Magen,,119379005,Specimen from stomach (specimen)
Magen PE,,122632000,Specimen from stomach obtained by incisional biopsy (specimen)
Mamma,,127456000,Specimen from breast (specimen)
Mamma li,,735198008,Specimen from left breast (specimen)
Mamma re,,735197003,Specimen from right breast (specimen)
Mamma PE,,397199005,Specimen from breast obtained by excision (specimen)
GBG-Pallas Resektat,,127456000,Specimen from breast (specimen)
Ösophagus PE,,127463000,Specimen from esophagus obtained by incisional biopsy (specimen)
Lymphknoten,,258589002,Lymph node specimen (specimen)
Kolon PE,,309225009,Colonic biopsy specimen (specimen)
Kolon aufsteigend,,16213411000119100,Ascending colon biopsy specimen (specimen)
Kolon absteigend,,16213531000119109,Descending colon biopsy specimen (specimen)
Duodenum PE,,734427005,Specimen from duodenum obtained by aspiration (specimen)
1 Paraffinblock ENr.,,15650671000119107,Paraffin embedded slide (specimen)
HRD,,127482009,Tissue specimen from ovary (specimen)
Lunge PE,,122610009,Specimen from lung obtained by biopsy (specimen)
Abradat Zervix,,399713008,Specimen from uterine cervix obtained by cone biopsy (specimen)
Abradat Korpus,,386802000,Endometrial biopsy (procedure)
PAP-Abstrich ZY,,276446009,Cervical smear specimen (specimen)
Prostata PE,,309132009,Prostate biopsy specimen (specimen)
Rektum PE,,309264007,Excised rectum specimen (specimen)
Ileum PE,,122641005,Specimen from ileum obtained by segmental resection (specimen)
Sigma PE,,309260003,Sigmoid colon biopsy specimen (specimen)
Kolon,,119382000,Specimen from colon (specimen)
GBG-Pallas Stanze,,397199005,Specimen from breast obtained by excision (specimen)
Uterus,,127479004,Specimen from uterus (specimen)
Weichteilgewebe,,309072003,Soft tissue specimen (specimen)
Pleura ZY,,110913002,Pleural cytologic material (specimen)
Gallenblase OP,,309205005,Cholecystectomy specimen (specimen)
Douglas ZY,,16216131000119105,Specimen obtained from pouch of Douglas by aspiration (specimen)
Appendix OP,,421615004,Specimen from appendix obtained by appendectomy (specimen)
EBUS PE,,34151000087104,Specimen from mass obtained by endobronchial ultrasound guided transbronchial fine needle aspiration (specimen)
Plazenta,,119403008,Specimen from placenta (specimen)
Zökum PE,,16213491000119109,Cecum biopsy specimen (specimen)
EBUS ZY,,34141000087102,Specimen from lymph node obtained by endobronchial ultrasound guided transbronchial fine needle aspiration (specimen)
Nasennebenhöhle TE,,433860001,Specimen from nasal sinus obtained by biopsy (specimen)
Sentinel TE,,441709004,Specimen from sentinel lymph node (specimen)
Leber PE,,309203003,Liver biopsy specimen (specimen)
Tube,,1003710006,Specimen from tube (specimen)
Ovar,,128155007,Specimen from ovary (specimen)
Abort TE,,,
Harnblase,,450872001,Specimen from urinary bladder (specimen)
Lymphknoten PE,,309079007,Lymph node biopsy specimen (specimen)
Knochenmark PE,,396999004,Specimen from bone marrow obtained by biopsy (specimen)
Prostata,,119386002,Specimen from prostate (specimen)
Tonsille,,430222001,Specimen from tonsil (specimen)
Haut,,608969007,Specimen from skin (specimen)
Adnexe TE,,,
Adnexe TE links,,122723005,Specimen from left fallopian tube obtained by salpingo-oophorectomy (specimen)
Adnexe TE rechts,,122722000,Specimen from right fallopian tube obtained by salpingo-oophorectomy (specimen)
Sigma,,309260003,Sigmoid colon biopsy specimen (specimen)
Aszites ZY,,431771004,Cytologic material obtained from ascitic fluid (specimen)
Konus TE,,,
Schilddrüse,,399680007,Specimen from thyroid (specimen)
Harnblase ZY,,110950001,Urinary bladder cytologic material (specimen)
Gelenk,,309125000,Joint specimen (specimen)
Omentum,,433309007,Specimen from omentum (specimen)
BAL ZY,,258607008,Bronchoalveolar lavage fluid specimen (specimen)
BAL,,258607008,Bronchoalveolar lavage fluid specimen (specimen)
BAL Linker unterer Lungenlappen,,16209771000119101,Specimen from left lower lobe of lung obtained by bronchoalveolar lavage procedure (specimen)
BAL Linker oberer Lungenlappen,,16209811000119101,Specimen from left upper lobe of lung obtained by bronchoalveolar lavage procedure (specimen)
BAL Rechter oberer Lungenlappen,,16209851000119100,Specimen from right upper lobe of lung obtained by bronchoalveolar lavage procedure (specimen)
BAL Rechter unterer Lungenlappen,,16209931000119102,Specimen from right lower lobe of lung obtained by bronchoalveolar lavage procedure (specimen)
BAL Rechter mittlerer Lungenlappen,,16209891000119105,Specimen from right middle lobe of lung obtained by bronchoalveolar lavage procedure (specimen)
Dünndarm,,119380008,Specimen from small intestine (specimen)
Rektum,,447955000,Specimen from rectum (specimen)
Bandscheibe TE,,438960000,Specimen from intervertebral disc (specimen)
Portio PE,,119395005,Specimen from uterine cervix (specimen)
Herzklappen TE,,258542004,Heart valve specimen (specimen)
Mundhöhle PE,,309188000,Mouth biopsy specimen (specimen)
Abdomen,,443654002,Specimen from abdominal cavity (specimen)
Vulva,,397129002,Specimen from vulva (specimen)
Pankreas PE,,309206006,Pancreas biopsy specimen (specimen)
GBG-GeparOcto Stanze,,,
Schilddrüse ZY,,116160003,Thyroid cytologic material (specimen)
Kiefer,,1335924000,Specimen from head (specimen)
Zunge,,430249001,Specimen from tongue (specimen)
Lunge,,127458004,Specimen from lung (specimen)
Fuß,,167876002,Foot joint synovial fluid (specimen)
Anus TE,,119392008,Specimen from anus (specimen)
Hernie TE,,,
Harnblase PE,,309273004,Bladder biopsy specimen (specimen)
Axilla,,406101006,Tissue specimen from axilla (specimen)
Ohr,,309165001 ,Ear specimen (specimen)
Niere,,127473003,Specimen from kidney (specimen)
Hoden,,128154006,Specimen from testis (specimen)
Vorhaut TE,,309499008,Foreskin biopsy specimen (specimen)
Vulva PE,,397130007,Specimen from vulva obtained by local excision (specimen)
Parotis,,258561000,Parotid gland saliva specimen (specimen)
Ureter SS,,440135000,Specimen from ureter obtained by brush biopsy (specimen)
Stimmlippe PE,,309184003,Vocal cord biopsy specimen (specimen)
Mundhöhle,,309185002,Oral cavity specimen (specimen)
Zökum,,"1,62134910001191E+016",Cecum biopsy specimen (specimen)
Endometrium PE,,122704003,Specimen from endometrium obtained by biopsy (specimen)
Hüftkopf TE,,309120005,Head of femur specimen (specimen)
Dünndarm PE,,369611008,Tissue specimen obtained from small intestine by biopsy (specimen)
Peritoneum,,430250001,Specimen from peritoneum (specimen)
Zunge PE,,309189008,Tongue biopsy specimen (specimen)
Aorta TE,,734336008,Specimen from aorta (specimen)
A-Stanze vor Therapie GDouze,,,
Gelenk ZY,,432897002,Cytologic material obtained from joint fluid (specimen)
Leber,,119383005,Specimen from liver (specimen)
Gefäße,,34633002,Biopsy of blood vessel (procedure)
Stimmlippen,,309184003,Vocal cord biopsy specimen (specimen)
Pleura,,127459007,Specimen from pleura (specimen)
Zervix PE,,119395005,Specimen from uterine cervix (specimen)
Vagina,,119394009,Specimen from vagina (specimen)
Gallenwege PE,,309493009,Bile duct biopsy specimen (specimen)
Cholesteatom,,172748005,Excision of cholesteatoma (procedure)
A-Stanze vor Therapie GNuevo,,,
Auge,,119399004,Specimen from eye (specimen)
Nasenhöhle PE,,432608000,Specimen from nasal fossae obtained by biopsy (specimen)
Mamille ZY,,110899003,Breast nipple cytologic material (specimen)
Bein,,430214008,Specimen from lower limb (specimen)
Ösophagus,,127463000,Specimen from esophagus (specimen)
Ovar ZY,,116213003,Ovary cytologic material (specimen)
Zwerchfell,,16223771000119107,Specimen from diaphragm obtained by brushing (specimen)
Ohr PE,,432910000,Specimen from ear obtained by biopsy (specimen)
Lunge ZY,,110910004,Lung cytologic material (specimen)
